Date_s,Open_s,High_s,Low_s,Close_s,AdjClose_s,Volume_s,Date_m,Open_m,High_m,Low_m,Close_m,AdjClose_m,Volume_m
3/24/2020,150,160,140,150,150,13433700,3/24/2020,3989.51709,4123.562012,3911.716064,3937.63208,3937.63208,45744100
3/26/2020,150,176,150,170,170,42121700,3/26/2020,3937.63208,4370.660156,3935.914063,4338.903809,4338.903809,81100100
3/27/2020,174,202,172,185,185,63348500,3/27/2020,4338.903809,4697.666016,4338.903809,4545.570801,4545.570801,77851100
3/30/2020,182,182,173,175,175,14636900,3/30/2020,4545.570801,4545.570801,4317.713867,4414.5,4414.5,27552200
3/31/2020,175,189,175,181,181,15991300,3/31/2020,4414.5,4569.473145,4414.5,4538.930176,4538.930176,43426600
4/1/2020,183,189,180,182,182,18902900,4/1/2020,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000
4/2/2020,182,191,174,183,183,21195400,4/2/2020,4466.037109,4531.685059,4393.668945,4531.685059,4531.685059,46011500
4/3/2020,185,195,182,191,191,25774900,4/3/2020,4531.685059,4623.429199,4531.685059,4623.429199,4623.429199,58684300
4/6/2020,191,218,189,210,210,42961500,4/6/2020,4623.429199,4811.827148,4623.429199,4811.827148,4811.827148,70452900
4/7/2020,214,230,210,218,218,31701100,4/7/2020,4811.827148,4975.536133,4721.721191,4778.63916,4778.63916,86224800
4/8/2020,218,228,204,204,204,20290500,4/8/2020,4778.63916,4780.214844,4583.900879,4626.694824,4626.694824,45557700
4/9/2020,204,220,200,210,210,15768100,4/9/2020,4626.694824,4669.709961,4562.901855,4649.079102,4649.079102,53523100
4/13/2020,210,216,202,208,208,7143000,4/13/2020,4649.079102,4659.029785,4591.728027,4623.894043,4623.894043,45586600
4/14/2020,208,214,206,210,210,27340100,4/14/2020,4623.894043,4706.491211,4623.894043,4706.491211,4706.491211,55226400
4/15/2020,212,214,198,199,199,20969100,4/15/2020,4706.491211,4747.725098,4605.054199,4625.904785,4625.904785,63059600
4/16/2020,200,202,190,192,192,13536400,4/16/2020,4480.606934,4480.606934,4480.606934,4480.606934,4480.606934,0
4/17/2020,196,200,194,197,197,15710500,4/17/2020,4480.606934,4637.242188,4480.606934,4634.820801,4634.820801,54547300
4/20/2020,198,198,191,193,193,15161400,4/20/2020,4634.820801,4669.541992,4573.773926,4575.904785,4575.904785,52113500
